Health,Age,Value,Best Action
Dead,60,0.0,
Dead,61,0.0,
Dead,62,0.0,
Dead,63,0.0,
Dead,64,0.0,
Dead,65,0.0,
no AAA,60,237.52981188046888,surgery
no AAA,61,234.4793130742189,surgery
no AAA,62,232.0225893242189,surgery
no AAA,63,230.26033932421888,surgery
no AAA,64,229.3103393242189,surgery
no AAA,65,229.3103393242189,surgery
<30 mm,60,31.267119886363638,surveillance
<30 mm,61,30.48248863636364,surveillance
<30 mm,62,29.73886363636364,surveillance
<30 mm,63,29.086363636363636,surveillance
<30 mm,64,28.636363636363633,surveillance
<30 mm,65,28.636363636363633,surveillance
30-35 mm,60,31.267119886363638,surveillance
30-35 mm,61,30.48248863636364,surveillance
30-35 mm,62,29.73886363636364,surveillance
30-35 mm,63,29.086363636363636,surveillance
30-35 mm,64,28.636363636363633,surveillance
30-35 mm,65,28.636363636363633,surveillance
35-40 mm,60,31.267119886363638,surveillance
35-40 mm,61,30.48248863636364,surveillance
35-40 mm,62,29.73886363636364,surveillance
35-40 mm,63,29.086363636363636,surveillance
35-40 mm,64,28.636363636363633,surveillance
35-40 mm,65,28.636363636363633,surveillance
40-45 mm,60,31.267119886363638,surveillance
40-45 mm,61,30.48248863636364,surveillance
40-45 mm,62,29.73886363636364,surveillance
40-45 mm,63,29.086363636363636,surveillance
40-45 mm,64,28.636363636363633,surveillance
40-45 mm,65,28.636363636363633,surveillance
45-50 mm,60,31.267119886363638,surveillance
45-50 mm,61,30.48248863636364,surveillance
45-50 mm,62,29.73886363636364,surveillance
45-50 mm,63,29.086363636363636,surveillance
45-50 mm,64,28.636363636363633,surveillance
45-50 mm,65,28.636363636363633,surveillance
50-55 mm,60,31.267119886363638,surveillance
50-55 mm,61,30.48248863636364,surveillance
50-55 mm,62,29.73886363636364,surveillance
50-55 mm,63,29.086363636363636,surveillance
50-55 mm,64,28.636363636363633,surveillance
50-55 mm,65,28.636363636363633,surveillance
55-60 mm,60,31.267119886363638,surveillance
55-60 mm,61,30.48248863636364,surveillance
55-60 mm,62,29.73886363636364,surveillance
55-60 mm,63,29.086363636363636,surveillance
55-60 mm,64,28.636363636363633,surveillance
55-60 mm,65,28.636363636363633,surveillance
60-65 mm,60,31.267119886363638,surveillance
60-65 mm,61,30.48248863636364,surveillance
60-65 mm,62,29.73886363636364,surveillance
60-65 mm,63,29.086363636363636,surveillance
60-65 mm,64,28.636363636363633,surveillance
60-65 mm,65,28.636363636363633,surveillance
65-70 mm,60,31.267119886363638,surveillance
65-70 mm,61,30.48248863636364,surveillance
65-70 mm,62,29.73886363636364,surveillance
65-70 mm,63,29.086363636363636,surveillance
65-70 mm,64,28.636363636363633,surveillance
65-70 mm,65,28.636363636363633,surveillance
70-75 mm,60,31.267119886363638,surveillance
70-75 mm,61,30.48248863636364,surveillance
70-75 mm,62,29.73886363636364,surveillance
70-75 mm,63,29.086363636363636,surveillance
70-75 mm,64,28.636363636363633,surveillance
70-75 mm,65,28.636363636363633,surveillance
75-80 mm,60,31.267119886363638,surveillance
75-80 mm,61,30.48248863636364,surveillance
75-80 mm,62,29.73886363636364,surveillance
75-80 mm,63,29.086363636363636,surveillance
75-80 mm,64,28.636363636363633,surveillance
75-80 mm,65,28.636363636363633,surveillance
> 80 mm,60,61.616893063303145,surveillance
> 80 mm,61,60.22205002142215,surveillance
> 80 mm,62,58.97592596042215,surveillance
> 80 mm,63,57.96928496042216,surveillance
> 80 mm,64,57.34828496042215,surveillance
> 80 mm,65,57.34828496042215,surveillance
