Health,Age,Value,Best Action
Dead,30,-100.0,
Dead,31,-100.0,
Dead,32,-100.0,
Dead,33,-100.0,
Dead,34,-100.0,
Dead,35,-100.0,
no AAA,30,70.0,surveillance
no AAA,31,69.0,surveillance
no AAA,32,68.0,surveillance
no AAA,33,67.0,surveillance
no AAA,34,66.0,surveillance
no AAA,35,65.0,surveillance
<30 mm,30,134.75270567952793,surveillance
<30 mm,31,132.6794737123479,surveillance
<30 mm,32,130.70611177234795,surveillance
<30 mm,33,128.91165177234794,surveillance
<30 mm,34,127.43765177234792,surveillance
<30 mm,35,126.53765177234793,surveillance
30-35 mm,30,132.0396422134475,surveillance
30-35 mm,31,129.98090565910852,surveillance
30-35 mm,32,128.02076314210854,surveillance
30-35 mm,33,126.23727214210854,surveillance
30-35 mm,34,124.77027214210852,surveillance
30-35 mm,35,123.87027214210852,surveillance
35-40 mm,30,129.32674629186278,surveillance
35-40 mm,31,127.28250515036478,surveillance
35-40 mm,32,125.33558205636477,surveillance
35-40 mm,33,123.56306005636478,surveillance
35-40 mm,34,122.10306005636477,surveillance
35-40 mm,35,121.20306005636478,surveillance
40-45 mm,30,126.61448142071474,surveillance
40-45 mm,31,124.58473569205775,surveillance
40-45 mm,32,122.65103202105774,surveillance
40-45 mm,33,120.88947902105775,surveillance
40-45 mm,34,119.43647902105775,surveillance
40-45 mm,35,118.53647902105774,surveillance
45-50 mm,30,123.90451736253166,surveillance
45-50 mm,31,121.88926704671567,surveillance
45-50 mm,32,119.96878279871567,surveillance
45-50 mm,33,118.21819879871568,surveillance
45-50 mm,34,116.77219879871566,surveillance
45-50 mm,35,115.87219879871567,surveillance
50-55 mm,30,121.20268989898898,surveillance
50-55 mm,31,119.20193343536397,surveillance
50-55 mm,32,117.29466861036398,surveillance
50-55 mm,33,115.55505361036398,surveillance
50-55 mm,34,114.11605361036399,surveillance
50-55 mm,35,113.21605361036399,surveillance
55-60 mm,30,118.52883023823063,surveillance
55-60 mm,31,116.54254678543063,surveillance
55-60 mm,32,114.64849246543062,surveillance
55-60 mm,33,112.91984646543062,surveillance
55-60 mm,34,111.48784646543062,surveillance
55-60 mm,35,110.58784646543063,surveillance
60-65 mm,30,115.94857487944199,surveillance
60-65 mm,31,113.97663593864199,surveillance
60-65 mm,32,112.095696818642,surveillance
60-65 mm,33,110.37797081864198,surveillance
60-65 mm,34,108.95297081864199,surveillance
60-65 mm,35,108.052970818642,surveillance
65-70 mm,30,113.58639685206978,surveillance
65-70 mm,31,111.62860830338016,surveillance
65-70 mm,32,109.76078438338017,surveillance
65-70 mm,33,108.05397838338017,surveillance
65-70 mm,34,106.63597838338016,surveillance
65-70 mm,35,105.73597838338017,surveillance
70-75 mm,30,111.97253428127013,surveillance
70-75 mm,31,110.02628111738694,surveillance
70-75 mm,32,108.17050580458694,surveillance
70-75 mm,33,106.47461980458692,surveillance
70-75 mm,34,105.06361980458692,surveillance
70-75 mm,35,104.16361980458693,surveillance
75-80 mm,30,112.93838477496502,surveillance
75-80 mm,31,110.98681487551221,surveillance
75-80 mm,32,109.13093522911221,surveillance
75-80 mm,33,107.4401088291122,surveillance
75-80 mm,34,106.03610882911221,surveillance
75-80 mm,35,105.1361088291122,surveillance
> 80 mm,30,122.8296535823952,surveillance
> 80 mm,31,120.79873123541279,surveillance
> 80 mm,32,118.87539391061279,surveillance
> 80 mm,33,117.13502431061278,surveillance
> 80 mm,34,115.70582431061277,surveillance
> 80 mm,35,114.80582431061278,surveillance
