Health,Age,Value,Best Action
Dead,30,-100.0,
Dead,31,-100.0,
Dead,32,-100.0,
Dead,33,-100.0,
Dead,34,-100.0,
Dead,35,-100.0,
no AAA,30,70.0,surveillance
no AAA,31,69.0,surveillance
no AAA,32,68.0,surveillance
no AAA,33,67.0,surveillance
no AAA,34,66.0,surveillance
no AAA,35,65.0,surveillance
<30 mm,30,204.23611404819874,surveillance
<30 mm,31,201.4152362522187,surveillance
<30 mm,32,198.86726443221875,surveillance
<30 mm,33,196.69952443221877,surveillance
<30 mm,34,195.06152443221873,surveillance
<30 mm,35,194.16152443221873,surveillance
30-35 mm,30,198.696417086425,surveillance
30-35 mm,31,195.89937004384595,surveillance
30-35 mm,32,193.371742192846,surveillance
30-35 mm,33,191.21956319284598,surveillance
30-35 mm,34,189.590563192846,surveillance
30-35 mm,35,188.69056319284599,surveillance
35-40 mm,30,193.1692573275322,surveillance
35-40 mm,31,190.39604103835418,surveillance
35-40 mm,32,187.88875715635416,surveillance
35-40 mm,33,185.75213915635416,surveillance
35-40 mm,34,184.13213915635419,surveillance
35-40 mm,35,183.23213915635418,surveillance
40-45 mm,30,187.6712244231618,surveillance
40-45 mm,31,184.9218388873848,surveillance
40-45 mm,32,182.4348989743848,surveillance
40-45 mm,33,180.31384197438481,surveillance
40-45 mm,34,178.7028419743848,surveillance
40-45 mm,35,177.8028419743848,surveillance
45-50 mm,30,182.2391842675816,surveillance
45-50 mm,31,179.51362948520563,surveillance
45-50 mm,32,177.04703354120562,surveillance
45-50 mm,33,174.9415375412056,surveillance
45-50 mm,34,173.3395375412056,surveillance
45-50 mm,35,172.4395375412056,surveillance
50-55 mm,30,176.95318790685417,surveillance
50-55 mm,31,174.25145961322917,surveillance
50-55 mm,32,171.80520763822915,surveillance
50-55 mm,33,169.71527263822915,surveillance
50-55 mm,34,168.12227263822913,surveillance
50-55 mm,35,167.22227263822913,surveillance
55-60 mm,30,171.98335650803932,surveillance
55-60 mm,31,169.3054031672393,surveillance
55-60 mm,32,166.8794762072393,surveillance
55-60 mm,33,164.8051022072393,surveillance
55-60 mm,34,163.22110220723928,surveillance
55-60 mm,35,162.32110220723928,surveillance
60-65 mm,30,167.68406788220125,surveillance
60-65 mm,31,165.02961937340123,surveillance
60-65 mm,32,162.62383801340127,surveillance
60-65 mm,33,160.56494401340123,surveillance
60-65 mm,34,158.98994401340124,surveillance
60-65 mm,35,158.08994401340124,surveillance
65-70 mm,30,164.66853946195607,surveillance
65-70 mm,31,162.0370653309305,surveillance
65-70 mm,32,159.6514295709305,surveillance
65-70 mm,33,157.6080155709305,surveillance
65-70 mm,34,156.0420155709305,surveillance
65-70 mm,35,155.14201557093048,surveillance
70-75 mm,30,164.480494433282,surveillance
70-75 mm,31,161.8654965664868,surveillance
70-75 mm,32,159.49773950808682,surveillance
70-75 mm,33,157.4698055080868,surveillance
70-75 mm,34,155.91280550808682,surveillance
70-75 mm,35,155.0128055080868,surveillance
75-80 mm,30,170.5526449548445,surveillance
75-80 mm,31,167.9182207781437,surveillance
75-80 mm,32,165.5452808789437,surveillance
75-80 mm,33,163.52313927894366,surveillance
75-80 mm,34,161.9751392789437,surveillance
75-80 mm,35,161.0751392789437,surveillance
> 80 mm,30,190.57418330998263,surveillance
> 80 mm,31,187.7965397562162,surveillance
> 80 mm,32,185.31288426181618,surveillance
> 80 mm,33,183.21810186181617,surveillance
> 80 mm,34,181.63770186181617,surveillance
> 80 mm,35,180.73770186181616,surveillance
